Feature,Importance
user_account_id,288
user_account_balance_last,230
user_lifetime,230
calls_outgoing_count,128
user_no_outgoing_activity_in_days,118
last_100_calls_outgoing_duration,117
last_100_calls_outgoing_to_offnet_duration,117
sms_incoming_count,103
reloads_inactive_days,98
calls_outgoing_inactive_days,93
last_100_sms_outgoing_to_offnet_count,90
sms_outgoing_inactive_days,88
last_100_sms_outgoing_count,86
calls_outgoing_duration_max,85
user_spendings,73
last_100_reloads_sum,68
calls_outgoing_spendings_max,62
sms_outgoing_count,59
reloads_sum,58
calls_outgoing_duration,56
calls_outgoing_to_offnet_count,54
sms_outgoing_spendings,49
last_100_sms_outgoing_to_onnet_count,46
calls_outgoing_to_offnet_spendings,42
sms_incoming_from_abroad_count,39
last_100_calls_outgoing_to_abroad_duration,36
last_100_sms_outgoing_to_abroad_count,34
last_100_reloads_count,33
sms_outgoing_to_onnet_count,33
calls_outgoing_spendings,31
gprs_inactive_days,31
sms_outgoing_to_offnet_count,25
sms_outgoing_to_offnet_spendings,24
sms_outgoing_to_onnet_spendings,21
user_intake,21
calls_outgoing_to_offnet_duration,21
calls_outgoing_to_abroad_count,20
sms_outgoing_to_abroad_count,20
calls_outgoing_to_abroad_spendings,19
last_100_gprs_usage,17
calls_outgoing_to_abroad_duration,16
last_100_calls_outgoing_to_onnet_duration,16
sms_outgoing_spendings_max,15
sms_incoming_spendings,14
reloads_count,12
sms_outgoing_to_abroad_spendings,11
gprs_session_count,10
calls_outgoing_to_onnet_spendings,9
gprs_usage,7
calls_outgoing_to_onnet_count,7
month,6
calls_outgoing_to_onnet_duration,5
gprs_spendings,4
user_does_reload,2
user_has_outgoing_calls,2
user_use_gprs,1
year,0
calls_outgoing_to_abroad_inactive_days,0
calls_outgoing_to_offnet_inactive_days,0
calls_outgoing_to_onnet_inactive_days,0
user_has_outgoing_sms,0
sms_outgoing_to_abroad_inactive_days,0
sms_outgoing_to_offnet_inactive_days,0
sms_outgoing_to_onnet_inactive_days,0
sms_incoming_from_abroad_spendings,0
