% No description available
@RELATION mobile_churn

@ATTRIBUTE year INTEGER
@ATTRIBUTE month INTEGER
@ATTRIBUTE user_account_id INTEGER
@ATTRIBUTE user_lifetime INTEGER
@ATTRIBUTE user_intake INTEGER
@ATTRIBUTE user_no_outgoing_activity_in_days INTEGER
@ATTRIBUTE user_account_balance_last REAL
@ATTRIBUTE user_spendings REAL
@ATTRIBUTE user_has_outgoing_calls INTEGER
@ATTRIBUTE user_has_outgoing_sms INTEGER
@ATTRIBUTE user_use_gprs INTEGER
@ATTRIBUTE user_does_reload INTEGER
@ATTRIBUTE reloads_inactive_days INTEGER
@ATTRIBUTE reloads_count INTEGER
@ATTRIBUTE reloads_sum REAL
@ATTRIBUTE calls_outgoing_count INTEGER
@ATTRIBUTE calls_outgoing_spendings REAL
@ATTRIBUTE calls_outgoing_duration REAL
@ATTRIBUTE calls_outgoing_spendings_max REAL
@ATTRIBUTE calls_outgoing_duration_max REAL
@ATTRIBUTE calls_outgoing_inactive_days INTEGER
@ATTRIBUTE calls_outgoing_to_onnet_count INTEGER
@ATTRIBUTE calls_outgoing_to_onnet_spendings REAL
@ATTRIBUTE calls_outgoing_to_onnet_duration REAL
@ATTRIBUTE calls_outgoing_to_onnet_inactive_days INTEGER
@ATTRIBUTE calls_outgoing_to_offnet_count INTEGER
@ATTRIBUTE calls_outgoing_to_offnet_spendings REAL
@ATTRIBUTE calls_outgoing_to_offnet_duration REAL
@ATTRIBUTE calls_outgoing_to_offnet_inactive_days INTEGER
@ATTRIBUTE calls_outgoing_to_abroad_count INTEGER
@ATTRIBUTE calls_outgoing_to_abroad_spendings REAL
@ATTRIBUTE calls_outgoing_to_abroad_duration REAL
@ATTRIBUTE calls_outgoing_to_abroad_inactive_days INTEGER
@ATTRIBUTE sms_outgoing_count INTEGER
@ATTRIBUTE sms_outgoing_spendings REAL
@ATTRIBUTE sms_outgoing_spendings_max REAL
@ATTRIBUTE sms_outgoing_inactive_days INTEGER
@ATTRIBUTE sms_outgoing_to_onnet_count INTEGER
@ATTRIBUTE sms_outgoing_to_onnet_spendings REAL
@ATTRIBUTE sms_outgoing_to_onnet_inactive_days INTEGER
@ATTRIBUTE sms_outgoing_to_offnet_count INTEGER
@ATTRIBUTE sms_outgoing_to_offnet_spendings REAL
@ATTRIBUTE sms_outgoing_to_offnet_inactive_days INTEGER
@ATTRIBUTE sms_outgoing_to_abroad_count INTEGER
@ATTRIBUTE sms_outgoing_to_abroad_spendings REAL
@ATTRIBUTE sms_outgoing_to_abroad_inactive_days INTEGER
@ATTRIBUTE sms_incoming_count INTEGER
@ATTRIBUTE sms_incoming_spendings REAL
@ATTRIBUTE sms_incoming_from_abroad_count INTEGER
@ATTRIBUTE sms_incoming_from_abroad_spendings REAL
@ATTRIBUTE gprs_session_count INTEGER
@ATTRIBUTE gprs_usage REAL
@ATTRIBUTE gprs_spendings REAL
@ATTRIBUTE gprs_inactive_days INTEGER
@ATTRIBUTE last_100_reloads_count INTEGER
@ATTRIBUTE last_100_reloads_sum REAL
@ATTRIBUTE last_100_calls_outgoing_duration REAL
@ATTRIBUTE last_100_calls_outgoing_to_onnet_duration REAL
@ATTRIBUTE last_100_calls_outgoing_to_offnet_duration REAL
@ATTRIBUTE last_100_calls_outgoing_to_abroad_duration REAL
@ATTRIBUTE last_100_sms_outgoing_count INTEGER
@ATTRIBUTE last_100_sms_outgoing_to_onnet_count INTEGER
@ATTRIBUTE last_100_sms_outgoing_to_offnet_count INTEGER
@ATTRIBUTE last_100_sms_outgoing_to_abroad_count INTEGER
@ATTRIBUTE last_100_gprs_usage REAL
@ATTRIBUTE churn INTEGER

@DATA
2013.0,6.0,13.0,1000.0,0.0,1.0,0.05,0.0,1.0,1.0,0.0,0.0,66.0,0.0,0.0,27.0,0.0,1.02,0.0,0.58,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,4.0,12.01,75.27,0.0,63.43,0.0,210.0,1.0,84.0,0.0,0.0,0.0
2013.0,6.0,14.0,1000.0,0.0,25.0,28.31,3.45,1.0,0.0,0.0,0.0,1276.0,0.0,0.0,5.0,3.45,9.9,1.51,4.33,25.0,5.0,3.45,9.9,25.0,0.0,0.0,0.0,25.0,5.0,3.45,9.9,25.0,0.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,0.0,0.0,13.38,11.18,2.0,11.18,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,6.0,18.0,1005.0,0.0,8.0,15.62,1.97,1.0,0.0,0.0,0.0,1276.0,0.0,0.0,18.0,1.97,14.92,0.89,9.23,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,6.0,1.31,10.45,8.0,0.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,1276.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,1276.0,0.0,0.0,30.0,0.0,0.0,10.45,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,6.0,27.0,1013.0,0.0,11.0,5.62,0.0,1.0,0.0,0.0,0.0,1276.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013.0,6.0,32.0,1032.0,0.0,2.0,5.86,0.15,1.0,0.0,0.0,1.0,17.0,1.0,6.0,22.0,0.15,2.58,0.15,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.15,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,1276.0,0.0,0.0,1276.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,1.0,6.0,2.58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,6.0,35.0,1039.0,0.0,1.0,12.51,12.96,1.0,1.0,0.0,1.0,6.0,1.0,17.0,56.0,12.96,90.73,2.39,15.95,1.0,0.0,0.0,0.0,1.0,15.0,8.44,56.28,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,3.0,29.0,356.65,0.0,215.83,0.0,4.0,1.0,1.0,0.0,0.0,0.0
2013.0,6.0,36.0,1040.0,0.0,1.0,16.73,2.34,1.0,1.0,0.0,1.0,4.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,41.0,2.34,0.06,1.0,0.0,0.0,1.0,39.0,2.34,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,1.0,12.0,0.0,0.0,0.0,0.0,112.0,0.0,109.0,0.0,0.0,0.0
2013.0,6.0,47.0,521.0,0.0,1.0,0.66,45.89,1.0,1.0,0.0,1.0,2.0,11.0,48.0,395.0,32.93,253.33,2.3,15.35,1.0,0.0,0.0,0.0,1.0,129.0,25.89,172.6,1.0,0.0,0.0,0.0,1.0,246.0,12.96,0.06,1.0,0.0,0.0,1.0,215.0,12.72,1.0,0.0,0.0,1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,35.0,158.0,735.87,0.0,473.5,0.0,1123.0,0.0,1006.0,0.0,0.0,0.0
2013.0,6.0,52.0,824.0,0.0,2.0,4.49,1.37,1.0,1.0,0.0,1.0,27.0,1.0,12.02,20.0,1.37,10.77,0.4,2.68,4.0,0.0,0.0,0.0,4.0,14.0,1.22,8.1,4.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,57.0,6.0,30.03,56.22,0.0,48.02,0.0,122.0,1.0,1.0,0.0,2.77,0.0
2013.0,6.0,59.0,867.0,0.0,2.0,90.93,17.99,1.0,1.0,0.0,1.0,12.0,1.0,72.06,88.0,17.99,121.53,4.09,27.27,2.0,0.0,0.0,0.0,2.0,14.0,17.99,119.95,2.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,4.0,0.0,0.0,4.0,16.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,7.0,108.06,587.85,0.0,585.55,0.0,19.0,0.0,19.0,0.0,0.0,0.0
